Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
1,shrimp,almonds,avocado,vegetables mix,green grapes,whole weat flour,yams,cottage cheese,energy drink,tomato juice,low fat yogurt,green tea,honey,salad,mineral water,salmon,antioxydant juice,frozen smoothie,spinach,olive oil
2,burgers,meatballs,eggs,,,,,,,,,,,,,,,,,
3,chutney,,,,,,,,,,,,,,,,,,,
4,turkey,avocado,,,,,,,,,,,,,,,,,,
5,mineral water,milk,energy bar,whole wheat rice,green tea,,,,,,,,,,,,,,,
6,low fat yogurt,,,,,,,,,,,,,,,,,,,
7,whole wheat pasta,french fries,,,,,,,,,,,,,,,,,,
8,soup,light cream,shallot,,,,,,,,,,,,,,,,,
9,frozen vegetables,spaghetti,green tea,,,,,,,,,,,,,,,,,
10,french fries,,,,,,,,,,,,,,,,,,,
11,eggs,pet food,,,,,,,,,,,,,,,,,,
12,cookies,,,,,,,,,,,,,,,,,,,
13,turkey,burgers,mineral water,eggs,cooking oil,,,,,,,,,,,,,,,
14,spaghetti,champagne,cookies,,,,,,,,,,,,,,,,,
15,mineral water,salmon,,,,,,,,,,,,,,,,,,
16,mineral water,,,,,,,,,,,,,,,,,,,
17,shrimp,chocolate,chicken,honey,oil,cooking oil,low fat yogurt,,,,,,,,,,,,,
18,turkey,eggs,,,,,,,,,,,,,,,,,,
19,turkey,fresh tuna,tomatoes,spaghetti,mineral water,black tea,salmon,eggs,chicken,extra dark chocolate,,,,,,,,,,
20,meatballs,milk,honey,french fries,protein bar,,,,,,,,,,,,,,,
21,red wine,shrimp,pasta,pepper,eggs,chocolate,shampoo,,,,,,,,,,,,,
22,rice,sparkling water,,,,,,,,,,,,,,,,,,
23,spaghetti,mineral water,ham,body spray,pancakes,green tea,,,,,,,,,,,,,,
24,burgers,grated cheese,shrimp,pasta,avocado,honey,white wine,toothpaste,,,,,,,,,,,,
25,eggs,,,,,,,,,,,,,,,,,,,
26,parmesan cheese,spaghetti,soup,avocado,milk,fresh bread,,,,,,,,,,,,,,
27,ground beef,spaghetti,mineral water,milk,energy bar,black tea,salmon,frozen smoothie,escalope,,,,,,,,,,,
28,sparkling water,,,,,,,,,,,,,,,,,,,
29,mineral water,eggs,chicken,chocolate,french fries,,,,,,,,,,,,,,,
30,frozen vegetables,spaghetti,yams,mineral water,,,,,,,,,,,,,,,,
31,herb & pepper,tomato sauce,light cream,magazines,,,,,,,,,,,,,,,,
